category,type,difficulty,question,correct_answer,incorrect_answers
Entertainment: Film,multiple,medium,What was the name of the protagonist in the movie Commando (1985)?,John Matrix,"[""Ben Richards"", ""Douglas Quaid"", ""Harry Tasker""]"
Geography,multiple,hard,What is the world&#039;s smallest country by population?,Vatican City,"[""Nauru"", ""Marshall Islands"", ""Lichtenstein""]"
Entertainment: Books,multiple,easy,"This play is generally considered to be the most adaptable of Shakespeare&rsquo;s works, and follows two &ldquo;star-crossed lovers&rdquo;.",Romeo and Juliet,"[""Hamlet"", ""The Tempest"", ""King Lear""]"
Entertainment: Video Games,multiple,medium,Which of these is not the name of a city in the Grand Theft Auto series?,San Andreas,"[""San Fierro"", ""Las Venturas"", ""Vice City""]"
Politics,boolean,easy,"Despite being seperated into multiple countries, The Scandinavian countries are unified by all having the same monarch.",False,"[""True""]"
Entertainment: Comics,multiple,medium,Which Batman sidekick is the son of Talia al Ghul?,Damian Wayne,"[""Dick Grayson"", ""Tim Drake"", ""Jason Todd""]"
Geography,multiple,hard,What is the capital of Suriname?,Paramaribo,"[""Antananarivo"", ""Tegucigalpa"", ""Sucre""]"
Science &amp; Nature,multiple,easy,What is the first element on the periodic table?,Hydrogen,"[""Helium"", ""Oxygen"", ""Lithium""]"
Entertainment: Video Games,boolean,easy,"Several characters in &quot;Super Mario 64&quot; blink their eyes, including Mario himself.",True,"[""False""]"
Entertainment: Video Games,multiple,easy,"In Dota 2, Wraith King was previously known as...",Skeleton King,"[""Reaper King"", ""Skull King"", ""Hell King""]"
Celebrities,multiple,hard,Gabe Newell was born in which year?,1962 ,"[""1970"", ""1960"", ""1972""]"
Entertainment: Video Games,multiple,medium,Which of these is not a Fallout protagonist?,Tunnel Snake,"[""Courier"", ""Lone Wanderer"", ""Vault Dweller""]"
Entertainment: Music,multiple,hard,Chino Moreno is the lead singer of which alternative metal band?,Deftones,"[""Tool"", ""Korn"", ""Type O Negative""]"
General Knowledge,multiple,medium,Which month is Black History Month in the US?,February,"[""May"", ""November"", ""August""]"
Animals,multiple,medium,What type of animal is a natterjack?,Toad,"[""Bird"", ""Fish"", ""Insect""]"
Entertainment: Video Games,multiple,hard,What was the code name given to Sonic the Hedgehog 4 during its development?,Project Needlemouse,"[""Project Bluespike"", ""Project Roboegg"", ""Project Darksphere""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,Who is the armored titan in &quot;Attack On Titan&quot;?,Reiner Braun,"[""Armin Arlelt"", ""Mikasa Ackermann"", ""Eren Jaeger""]"
Entertainment: Video Games,multiple,medium,Which of the following is NOT an official game in Nintendo&#039;s Super Smash Bros. series?,Super Smash Bros. Crusade,"[""Super Smash Bros. Melee"", ""Super Smash Bros. Brawl"", ""Super Smash Bros. for Nintendo 3DS and Wii U""]"
Entertainment: Video Games,multiple,medium,"In the ARPG &quot;Path of Exile,&quot; what is the highest amount of sockets that an item can have?",6,"[""5"", ""4"", ""8""]"
Science: Computers,multiple,medium,What is the correct term for the metal object in between the CPU and the CPU fan within a computer system?,Heat Sink,"[""CPU Vent"", ""Temperature Decipator"", ""Heat Vent""]"
Celebrities,multiple,medium,"In 2014, this new top 100 rapper who featured in &quot;Computers&quot; and &quot;Body Dance&quot; was arrested in a NYPD sting for murder.",Bobby Shmurda,"[""DJ Snake"", ""Swae Lee"", ""Young Thug""]"
Entertainment: Television,multiple,easy,Guy&#039;s Grocery Games is hosted by which presenter?,Guy Fieri,"[""Guy Martin"", ""Guy Ritchie"", ""Ainsley Harriott""]"
Animals,boolean,easy,Kangaroos keep food in their pouches next to their children.,False,"[""True""]"
Entertainment: Film,multiple,easy,What is the name of the fictional retro-mod band starring Austin Powers as the lead vocalist?,Ming Tea,"[""Cough Fi"", ""Spear Mint"", ""Mister E""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,"In &quot;To Love-Ru: Darkness&quot;, which of the girls attempt making a harem for Rito Yuuki?",Momo Deviluke,"[""Yami (Golden Darkness)"", ""Haruna Sairenji"", ""Mea Kurosaki""]"
Entertainment: Cartoon &amp; Animations,multiple,easy,What was the first Disney movie to use CGI?,The Black Cauldron,"[""Tron"", ""Toy Story"", ""Fantasia""]"
Geography,multiple,easy,"Vatican City, the smallest country in the world, is fully enclosed by which country?",Italy,"[""France"", ""Spain"", ""Germany""]"
Entertainment: Music,multiple,medium,Which British band did Keith Moon play in until his death in 1978?,The Who,"[""The Kinks"", ""The Yardbirds"", ""The Small Faces""]"
Entertainment: Film,multiple,medium,Which actor auditioned for the role of Luke Skywalker?,Kurt Russell,"[""Christopher Lambert"", ""Laurence Fishburne"", ""James Remar""]"
Entertainment: Music,multiple,medium,Which country is singer Kyary Pamyu Pamyu from?,Japan,"[""South Korea"", ""China"", ""Vietnam""]"
Entertainment: Video Games,multiple,hard,"In World of Warcraft lore, who organized the creation of the Paladins?",Alonsus Faol,"[""Uther the Lightbringer"", ""Alexandros Mograine"", ""Sargeras, The Daemon Lord""]"
General Knowledge,multiple,medium,Which mountain has the highest peak in North America?,"Denali, USA","[""Mount Saint Elias, US/Canada border"", ""Mount Logan, Canada"", ""Pico de Orizaba, Mexico""]"
General Knowledge,multiple,medium,Which of the following is NOT one of Aesop&#039;s fables?,The Fox and the Hound,"[""The Fox and the Grapes"", ""The Tortoise and the Hare"", ""The Frog and the Ox""]"
General Knowledge,multiple,medium,What was the name given to Japanese military dictators who ruled the country through the 12th and 19th Century?,Shogun,"[""Ninja"", ""Samurai"", ""Shinobi""]"
Entertainment: Video Games,multiple,medium,"In the video game &quot;Closers Online: Dimension Conflict&quot;, who is the administrator of team Wildh&uuml;ter?",Alice Wiseman,"[""Kim Yujung"", ""Wolfgang Schneider"", ""Hong Siyoung""]"
Entertainment: Film,multiple,hard,In what year was the first Indian movie submitted for an Oscar?,1957,"[""1962"", ""1938"", ""1954""]"
History,multiple,medium,The Spitfire L.F. Mk IX had what engine?,Merlin 66,"[""Griffon 65"", ""Merlin 50"", ""Merlin X""]"
Science: Mathematics,multiple,easy,What is the correct order of operations for solving equations?,"Parentheses, Exponents, Multiplication, Division, Addition, Subtraction","[""Addition, Multiplication, Division, Subtraction, Addition, Parentheses"", ""Parentheses, Exponents, Addition, Substraction, Multiplication, Division"", ""The order in which the operations are written.""]"
Celebrities,multiple,easy,Which actress married Michael Douglas in 2000?,Catherine Zeta-Jones,"[""Ruth Jones"", ""Pam Ferris"", ""Sara Sugarman""]"
Entertainment: Video Games,multiple,medium,Who is the villain company in &quot;Stardew Valley&quot;?,Joja Co ,"[""Ronin"", ""Empire"", ""Robotnik Industry&#039;s ""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,What year did &quot;Attack on Titan&quot; first air?,2013,"[""2014"", ""2012"", ""2015""]"
Sports,multiple,medium,Which of the following Grand Slam tennis tournaments occurs LAST?,US Open,"[""French Open"", ""Wimbledon"", ""Australian Open""]"
Vehicles,multiple,medium,"What part of an automobile engine uses lobes to open and close intake and exhaust valves, and allows an air/fuel mixture into the engine?",Camshaft,"[""Piston"", ""Drive shaft"", ""Crankshaft""]"
General Knowledge,multiple,medium,What is the star sign of someone born on Valentines day?,Aquarius,"[""Pisces"", ""Capricorn"", ""Scorpio""]"
Entertainment: Film,multiple,medium,"Which star actor was in &quot;Top Gun&quot;, &quot;Jerry Maguire&quot; and &quot;Born on the Fourth of July&quot;?",Tom Cruise,"[""Kelly McGillis"", ""John Travolta"", ""George Clooney""]"
Entertainment: Comics,multiple,medium,What is the real name of the &quot;Master Of Magnetism&quot; Magneto?,Max Eisenhardt,"[""Charles Xavier"", ""Pietro Maximoff"", ""Johann Schmidt""]"
Entertainment: Video Games,multiple,medium,"In &quot;Overwatch&quot;, what is the name of Mercy&#039;s &quot;ultimate ability&quot;?",Valkyrie,"[""Earthshatter"", ""Rocket Barrage"", ""Molten Core""]"
Entertainment: Video Games,boolean,easy,Donkey Kong was originally set to be a Popeye arcade game.,True,"[""False""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,"In &quot;The Melancholy of Haruhi Suzumiya&quot; series, the SOS Brigade club leader is unknowingly treated as a(n) __ by her peers.",God,"[""Alien"", ""Time Traveler"", ""Esper""]"
Entertainment: Video Games,multiple,easy,What ingredient is NOT used to craft a cake in Minecraft?,Bread,"[""Wheat"", ""Milk"", ""Egg""]"
General Knowledge,multiple,medium,Which of these words means &quot;idle spectator&quot;?,Gongoozler,"[""Gossypiboma"", ""Jentacular"", ""Meupareunia""]"
Entertainment: Television,multiple,easy,"In season one of the Netflix political drama &quot;House of Cards&quot;, what government position does Frank Underwood hold?",House Majority Whip,"[""Attorney General"", ""President"", ""Chief of Staff""]"
Entertainment: Japanese Anime &amp; Manga,multiple,medium,The main antagonist of the second part of JoJo&#039;s Bizarre Adventure is which of the following?,Kars,"[""Erina Joestar"", ""Santana"", ""Wired Beck""]"
Entertainment: Video Games,multiple,easy,When was Minecraft first released to the public?,"May 17th, 2009","[""September 17th, 2009"", ""November 18th, 2011"", ""October 7th, 2011""]"
Entertainment: Music,multiple,medium,Which of the following guitarists recorded an album as a member of the Red Hot Chili Peppers?,Dave Navarro,"[""Tom Morello "", ""Billy Corgan"", ""Ed O&#039;Brien""]"
Celebrities,multiple,easy,Which celebrity announced his presidency in 2015?,Kanye West,"[""Donald Trump"", ""Leonardo DiCaprio"", ""Miley Cyrus""]"
Entertainment: Film,multiple,hard,Which actress portrayed Dr. Grace Augustine in the James Cameron movie &quot;Avatar&quot;?,Sigourney Weaver,"[""Jessica Chastain"", ""Melissa Beckett"", ""Alyssa Monroe ""]"
Entertainment: Music,multiple,hard,Which Manchester nightclub was considered central to the &#039;Madchester&#039; music scene in the late 80&#039;s?,The Ha&ccedil;ienda,"[""The Warehouse Project"", ""LIV"", ""The Liar&#039;s Club""]"
Entertainment: Video Games,multiple,medium,"In &quot;Call of Duty: Zombies&quot;, what group does Doctor Maxis work for?",Group 935,"[""Group Reanimate"", ""Group Rezurrection"", ""Division 9""]"
Entertainment: Video Games,multiple,medium,What American city was featured in the 1999 PC game Midtown Madness?,Chicago,"[""Washington D.C."", ""San Francisco"", ""New York City""]"
Science: Computers,boolean,easy,The logo for Snapchat is a Bell.,False,"[""True""]"
Entertainment: Video Games,multiple,easy,Who is the writer of the game &quot;Half-Life&quot;?,Marc Laidlaw,"[""Gabe Newell"", ""Robin Walker"", ""Chet Faliszek""]"
Entertainment: Video Games,multiple,easy,Which character in the &quot;Animal Crossing&quot; series uses the phrase &quot;zip zoom&quot; when talking to the player?,Scoot,"[""Drake"", ""Bill"", ""Mallary""]"
Entertainment: Video Games,multiple,hard,"In Rainbow 6 Siege, what is Ela and Zofia&#039;s last name?",Bosak,"[""Kessikbayev"", ""Zenaviev"", ""Melnikova""]"
Entertainment: Video Games,multiple,hard,Which gaming series includes &quot;The Diabolical Box&quot; and &quot;The Curious Village&quot;?,Professor Layton,"[""Persona"", ""Etrian Odyssey"", ""Sam &amp; Max""]"
Entertainment: Japanese Anime &amp; Manga,multiple,easy,"In Ms. Kobayashi&#039;s Dragon Maid, who is Kobayashi&#039;s maid?",Tohru,"[""Lucoa"", ""Kanna"", ""Elma""]"
Entertainment: Video Games,multiple,medium,"In the 2000 video game &quot;Crimson Skies,&quot; what was the name of the protagonists&#039; zeppelin?",Pandora,"[""Helios"", ""Icarus"", ""Orion""]"
Entertainment: Video Games,multiple,easy,In the original Spyro game who is the first villain?,Gnasty Gnorc,"[""Ripto"", ""Sorceress"", ""Cynder""]"
Entertainment: Video Games,multiple,medium,"In Forza Motorsport 6, which of these track-exclusive cars was NOT featured in the game, either originally with the game or added as DLC?",Aston Martin Vulcan,"[""Ferrari FXX-K"", ""McLaren P1 GTR"", ""Lotus E23""]"
Entertainment: Video Games,multiple,medium,"In &quot;Overwatch,&quot; what is the hero McCree&#039;s full name?",Jesse McCree,"[""Jack &quot;McCree&quot; Morrison"", ""Gabriel Reyes"", ""Jamison &quot;Deadeye&quot; Fawkes""]"
Entertainment: Video Games,multiple,hard,"In the 2014 Pokemon VGC Finals, which Pokemon was famous for bringing the winner to victory?",Pachirisu,"[""Garchomp"", ""Lapras"", ""Primal Groudon""]"
Science: Mathematics,multiple,medium,What is the Roman numeral for 500?,D,"[""L"", ""C"", ""X""]"
History,multiple,easy,Which game was the Game of the Year in 2018?,God of War,"[""Detroit: Become Human"", ""Red Dead Redemption 2"", ""A Way Out""]"
Science &amp; Nature,multiple,easy,What does LASER stand for?,Light amplification by stimulated emission of radiation,"[""Lite analysing by stereo ecorazer"", ""Light amplifier by standby energy of radio"", ""Life antimatter by standing entry of range""]"
Entertainment: Video Games,boolean,hard,"In the game Nuclear Throne, the boss &quot;Big Dog&quot; was made into a character on April Fool&#039;s Day 2015.",True,"[""False""]"
Entertainment: Musicals &amp; Theatres,multiple,medium,Who is the musical director for the award winning musical &quot;Hamilton&quot;?,Alex Lacamoire,"[""Lin-Manuel Miranda"", ""Renee Elise-Goldberry"", ""Leslie Odom Jr.""]"
Entertainment: Video Games,multiple,easy,What is Pikachu&#039;s National Pok&eacute;Dex Number?,#025,"[""#001"", ""#031"", ""#109""]"
Entertainment: Japanese Anime &amp; Manga,multiple,hard,"In &quot;Highschool of the Dead&quot;, where did Komuro and Saeko establish to meet after the bus explosion?",Eastern Police Station,"[""The Center Mall"", ""Komuro&#039;s House"", ""On The Main Bridge""]"
Entertainment: Film,multiple,medium,"In the Friday The 13th series, what is Jason&#039;s mother&#039;s first name?",Pamela,"[""Mary"", ""Christine"", ""Angeline""]"
Entertainment: Video Games,multiple,hard,What is the real name of &quot;Warhead&quot; in the Sega Genesis game &quot;Vectorman&quot;?,Raster,"[""Peacehead"", ""Vectorkid"", ""Bitmap""]"
History,multiple,easy,Which of these landmarks is not included in the original &#039;Seven Wonders of the Ancient World&#039;?,Great Wall of China,"[""Great Pyramid of Giza"", ""Colossus of Rhodes"", ""Hanging Gardens of Babylon""]"
Entertainment: Music,multiple,hard,Who was the first Jazz Musician to win the Pulitzer Prize for Music,Wynton Marsalis,"[""Michael Brecker"", ""Herbie Hancock"", ""Joe Henderson""]"
Entertainment: Music,multiple,medium,"In music theory, how many notes are in a seventh chord?",4,"[""3"", ""7"", ""2""]"
Entertainment: Music,multiple,medium,"May 16th of every year is known as __________ Day, named after a punk band prominent in the 1990s.",Lagwagon,"[""Goldfinger"", ""Less Than Jake"", ""Lit""]"
